127.0.0.1 - - [17/Jul/2024:09:38:10 +0900] "GET / HTTP/1.1" 200 22000
0:0:0:0:0:0:0:1 - - [17/Jul/2024:09:38:11 +0900] "GET / HTTP/1.1" 200 22000
0:0:0:0:0:0:0:1 - - [17/Jul/2024:09:38:11 +0900] "GET /images/%EC%A7%88%EB%AC%B8.png HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [17/Jul/2024:09:38:11 +0900] "GET /images/%EC%A7%91.png HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [17/Jul/2024:09:38:11 +0900] "GET /css/normalize.css HTTP/1.1" 200 6488
0:0:0:0:0:0:0:1 - - [17/Jul/2024:09:38:11 +0900] "GET /css/style.css HTTP/1.1" 200 17367
0:0:0:0:0:0:0:1 - - [17/Jul/2024:09:38:11 +0900] "GET /css/vendor.css HTTP/1.1" 200 31551
0:0:0:0:0:0:0:1 - - [17/Jul/2024:09:38:11 +0900] "GET /images/%ED%8C%90%EB%A7%A4,%EB%82%98%EB%88%94.png HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [17/Jul/2024:09:38:11 +0900] "GET /images/%EB%B2%88%EA%B0%9C.png HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [17/Jul/2024:09:38:11 +0900] "GET /images/%EC%A7%88%EB%AC%B8%EA%B2%8C%EC%8B%9C%ED%8C%90.png HTTP/1.1" 200 107924
0:0:0:0:0:0:0:1 - - [17/Jul/2024:09:38:11 +0900] "GET /js/jquery-1.11.0.min.js HTTP/1.1" 200 96383
0:0:0:0:0:0:0:1 - - [17/Jul/2024:09:38:11 +0900] "GET /js/plugins.js HTTP/1.1" 200 75356
0:0:0:0:0:0:0:1 - - [17/Jul/2024:09:38:11 +0900] "GET /js/script.js HTTP/1.1" 200 4377
0:0:0:0:0:0:0:1 - - [17/Jul/2024:09:38:11 +0900] "GET /images/fire.png HTTP/1.1" 200 1064
0:0:0:0:0:0:0:1 - - [17/Jul/2024:09:38:11 +0900] "GET /images/logo.png HTTP/1.1" 200 5054
0:0:0:0:0:0:0:1 - - [17/Jul/2024:09:38:11 +0900] "GET /images/pink_fire.png HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [17/Jul/2024:09:38:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Jul/2024:09:38:15 +0900] "GET /shop.html HTTP/1.1" 404 816
